SMILES,name,canvasUID,BIT416695,BIT5177896,BIT18570648,BIT35752585,BIT61822491,BIT93260977,BIT95903609,BIT106694318,BIT124811591,BIT130270048,BIT150631200,BIT223748333,BIT274349221,BIT312329864,BIT382663436,BIT398379716,BIT406953549,BIT418925010,BIT435687685,BIT454087545,BIT454695638,BIT461995270,BIT482916395,BIT489408998,BIT492267770,BIT498271925,BIT512501707,BIT532747159,BIT560483950,BIT580856904,BIT669527983,BIT719904636,BIT721292551,BIT737789447,BIT749939239,BIT766859247,BIT783093464,BIT813941293,BIT870139251,BIT921262318,BIT968405883,BIT998851964,BIT1041313991,BIT1047136103,BIT1059910569,BIT1064599867,BIT1122777199,BIT1123524160,BIT1137660364,BIT1154293785,BIT1173853824,BIT1184141619,BIT1197840264,BIT1220569136,BIT1227108941,BIT1246356714,BIT1249143480,BIT1253976307,BIT1257099560,BIT1308445080,BIT1324101313,BIT1343504748,BIT1358608121,BIT1397082970,BIT1419452071,BIT1420529118,BIT1458817344,BIT1518511864,BIT1576946491,BIT1584794391,BIT1586556420,BIT1590530261,BIT1593217523,BIT1606864494,BIT1655566705,BIT1663691349,BIT1671862402,BIT1765791337,BIT1769127031,BIT1770828203,BIT1775465849,BIT1785273911,BIT1821023310,BIT1877127355,BIT1880193950,BIT1882017250,BIT1922525466,BIT1955028628,BIT1989718913,BIT2028006455,BIT2055322682,BIT2076163212,BIT2154147980,BIT2162202951,BIT2228577418,BIT2235470317,BIT2238283507,BIT2266715787,BIT2290903076,BIT2291000019,BIT2298394740,BIT2322164758,BIT2324711777,BIT2343591963,BIT2363518894,BIT2392645183,BIT2417556983,BIT2440785837,BIT2451371491,BIT2462696517,BIT2511022271,BIT2519667521,BIT2553733606,BIT2566650215,BIT2580245828,BIT2585045743,BIT2589624334,BIT2590600740,BIT2594354751,BIT2622794414,BIT2634604399,BIT2640057045,BIT2721286324,BIT2761993069,BIT2764126396,BIT2776797055,BIT2778606295,BIT2796320579,BIT2817554853,BIT2844573075,BIT2855903297,BIT2865562737,BIT2890714152,BIT2930508109,BIT2947984968,BIT3013020469,BIT3013744604,BIT3031503198,BIT3104082939,BIT3131280537,BIT3138677946,BIT3173659812,BIT3174268675,BIT3194965116,BIT3226064905,BIT3372842994,BIT3391016243,BIT3431490105,BIT3452933682,BIT3486358338,BIT3504138234,BIT3506714816,BIT3519604709,BIT3531328284,BIT3554908637,BIT3564241759,BIT3566268516,BIT3582006882,BIT3586373890,BIT3595478681,BIT3610566439,BIT3631621542,BIT3645280995,BIT3657772170,BIT3659296035,BIT3682411103,BIT3709392729,BIT3716953756,BIT3717843640,BIT3765517389,BIT3786400542,BIT3810662166,BIT3824367254,BIT3852222866,BIT3887345976,BIT3890328136,BIT3914731103,BIT3926366438,BIT3927137810,BIT3937406324,BIT3939946332,BIT3941119714,BIT3953805497,BIT3958566299,BIT3965939985,BIT3977360296,BIT3989367947,BIT4010606060,BIT4027548381,BIT4042166350,BIT4064361268,BIT4078345828,BIT4079218124,BIT4103975063,BIT4111917065,BIT4155208398,BIT4188453456,BIT4213333701,BIT4213514025,BIT4293702489
ClCC(Cl)(Cl)Cl,C2H2Cl4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(Cl)(Cl)Cl,C2H3Cl3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClC(Cl)C(Cl)Cl,C2H2Cl4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClCC(Cl)Cl,C2H3Cl3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FC(F)(Cl)C(F)(Cl)Cl,C2Cl3F3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC(Cl)Cl,C2H4Cl2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClC(Cl)=C,C2H2Cl2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCOC(C)OCC,C6H14O2,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clc1ccc(Cl)c(Cl)c1Cl,C6H2Cl4,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
C1CCCc(c12)cccc2,C10H12,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
